chapt;short_n;header
1;109;Article 109. Actions aimed at violent change or overthrow of the constitutional order or to seize state power
1;110;Article 110. Encroachment on the territorial integrity and inviolability of Ukraine
1;110-1;Article 110-1. {Article 1101 is excluded based on Law No. 767-VII dated February 23, 2014}
1;110-2;Article 110-2. Financing of actions committed for violent change or overthrow of the constitutional system or seizure of state power, changes in territory boundaries or the state border of Ukraine
1;111;Article 111. Treason
1;112;Article 112. Encroachment on the life of a state or public figure
1;113;Article 113. Subversion
1;114;Article 114. Espionage
1;114-1;Article 114-1. Obstructing the lawful activities of the Armed Forces of Ukraine and other military formations
2;115;Article 115. Intentional murder
2;116;Article 116. Intentional murder committed in a state of deep emotion
2;117;Article 117. Intentional murder by the mother of her newborn child
2;118;Article 118. Intentional murder when the limits of necessary defense are exceeded or in case exceeding the required measures to detain a person who has committed a criminal offense
2;119;Article 119. Murder due to carelessness
2;120;Article 120. Inducing suicide
2;121;Article 121. Intentional grievous bodily harm
2;122;Article 122. Intentional physical injury of moderate severity
2;123;Article 123. Deliberate grievous bodily harm, caused in a state of deep emotion
2;124;Article 124. Intentional infliction of grievous bodily harm in case of exceeding the limits necessary defense or in case of exceeding required measures for the detention of a person who has committed a criminal offense
2;125;Article 125. Deliberate slight bodily injury
2;126;Article 126. Beatings and bullying
2;126-1;Article 126-1. Domestic violence
2;127;Article 127. Torture
2;128;Article 128. Careless severe or moderate bodily injury
2;129;Article 129. Threat of murder
2;130;Article 130. Infection with human or another incurable immunodeficiency virus infectious disease
2;131;Article 131. Improper performance of professional duties, which caused infection persons with human immunodeficiency virus or another incurable infectious disease
2;132;Article 132. Disclosure of information on conducting a medical examination for detection of infection with human immunodeficiency virus or another incurable infectious disease
2;133;Article 133. Infection with a venereal disease
2;134;Article 134. Illegal abortion or sterilization
2;135;Article 135. Leaving in danger
2;136;Article 136. Failure to assist a person in a life-threatening condition
2;137;Article 137. Improper performance of duties regarding the protection of life and health of children
2;138;Article 138. Illegal medical activity
2;139;Article 139. Failure to assist a sick by a medical worker
2;140;Article 140. Improper performance of professional duties by a medical or a pharmaceutical worker
2;141;Article 141. Violation of the patient's rights
2;142;Article 142. Illegal conduct of human experiments
2;143;Article 143. Violation of the procedure for anatomical transplantation established by law human materials
2;144;Article 144. Forcible donation
2;145;Article 145. Illegal disclosure of medicinal secrets
3;146;Article 146. Illegal deprivation of liberty or kidnapping 
3;146-1;Article 146-1. Enforced disappearance
3;147;Article 147. Taking hostages
3;148;Article 148. Substitution of a child
3;149;Article 149. Human trafficking
3;150;Article 150. Exploitation of children
3;150-1;Article 150-1. Use of a minor child for begging
3;151;Article 151. Illegal placement in a psychiatric care institution
3;151-1;Article 151-1. {Article 1511 is excluded based on Law No. 767-VII dated February 23, 2014}
3;151-2;Article 151-2. Forced marriage
4;152;Article 152. Rape
4;153;Article 153. Sexual violence
4;154;Article 154. Forcing to enter into sexual intercourse
4;155;Article 155. Committing acts of a sexual nature with a person who has not reached puberty sixteen years old
4;156;Article 156. Corruption of minors (molesting)
4;156-1;Article 156-1. Harassment of a child for sexual purposes
5;157;Article 157. Obstructing the exercise of the right to vote or the right to participate in the referendum, the work of the election commission or referendum commission, or activities of official observer
5;158;Article 158. Submission of false information to the State Register maintenance body of voters or other unauthorized interference in the work of the State Register of Voters
5;158-1;Article 158-1. Illegal use of the ballot paper, ballot paper for voting in a referendum, voting by an elector, referendum participant more than once, theft, damage, concealment or destruction of the ballot paper, ballot paper for voting in the referendum
5;158-2;Article 158-2. Illegal destruction or damage of election documentation or referendum documentation
5;158-3;Article 158-3. Falsification, forgery, theft, damage, or destruction election documentation, referendum documentation, theft, damage, concealment, destruction of the seal of the election commission, referendum commission, election commission boxes, list of voters or referendum participants
5;159;Article 159. Violation of the secrecy of voting
5;159-1;Article 159-1. Violation of the procedure for financing a political party, pre-election agitation or referendum agitation
5;160;Article 160. Bribery of a voter, referendum participant, member of the election commission or referendum commission
5;161;Article 161. Violation of the equality of citizens depending on their race, nationality, religious beliefs, disability, and others signs
5;162;Article 162. Violation of the inviolability of housing
5;163;Article 163. Violation of secrecy of correspondence, telephone conversations, telegraph, or other correspondence transmitted by means of communication or through a computer
5;164;Article 164. Evasion of payment of alimony for the maintenance of children
5;165;Article 165. Evasion of payment of funds for maintenance of disabled parents
5;166;Article 166. Malicious non-fulfillment of duties to care for a child or a person, in respect of which custody or guardianship is established
5;167;Article 167. Abuse of guardianship rights
5;168;Article 168. Disclosure of the secret of adoption (adoption)
5;169;Article 169. Illegal actions regarding adoption (adoption)
5;170;Article 170. Obstruction of legal activity of trade unions, political unions parties, public organizations
5;171;Article 171. Obstruction to the legitimate professional activity of journalists
5;172;Article 172. Gross violation of labor legislation
5;173;Article 173. Gross violation of the labor agreement
5;174;Article 174. Forcing to participate in a strike or preventing participation in a strike
5;175;Article 175. Non-payment of salary, scholarship, pension, or other established the law of payments
5;176;Article 176. Violation of copyright and related rights
5;177;Article 177. Violation of rights to an invention, utility model, industrial design, topography of an integrated microcircuit, plant variety, rationalization proposal
5;178;Article 178. Damage to religious buildings or houses of worship
5;179;Article 179. Illegal possession, desecration, or destruction of religious sites
5;180;Article 180. Obstructing the performance of a religious ceremony
5;181;Article 181. Encroachment on people's health under the pretext of religious preaching creeds or the performance of religious rites
5;182;Article 182. Violation of privacy
5;183;Article 183. Violation of the right to education
5;184;Article 184. Violation of the right to free medical care
6;185;Article 185. Theft
6;186;Article 186. Mugging
6;187;Article 187. Robbery
6;188;Article 188. {Article 188 is excluded based on Law No. 270-VI dated April 15, 2008} 
6;188-1;Article 188-1. Theft of water, electric or thermal energy through its arbitrary use
6;189;Article 189. Extortion
6;190;Article 190. Fraud
6;191;Article 191. Appropriation, waste of property, or taking possession of it through abuse official position
6;192;Article 192. Causing property damage by deception or abuse of trust
6;193;Article 193. Illegal appropriation by a person of found or someone else's property, which happened to be in her possession
6;194;Article 194. Deliberate destruction or damage to property
6;194-1;Article 194-1. Intentional damage to electric power facilities
6;195;Article 195. The threat of destruction of property
6;196;Article 196. Careless destruction or damage to property
6;197;Article 197. Violation of obligations to protect property
