chapt;short_n;header
1;109;"Стаття 109.Дії, спрямовані на насильницьку зміну чи повалення конституційного
ладу або на захоплення державної влади"
1;110;Стаття 110.Посягання на територіальну цілісність і недоторканність України
1;110-1;Стаття 110-1.{Статтю 1101виключено на підставі Закону№ 767-VII від 23.02.2014}
1;110-2;"Стаття 110-2.Фінансування дій, вчинених з метою насильницької зміни чи повалення
 конституційного ладу або захоплення державної влади, зміни меж території або
державного кордону України"
1;111;Стаття 111.Державна зрада
1;112;Стаття 112.Посягання на життя державного чи громадського діяча
1;113;Стаття 113.Диверсія
1;114;Стаття 114.Шпигунство
1;114-1;"Стаття 114-1.Перешкоджання законній діяльності Збройних Сил України та інших
військових формувань"
2;115;Стаття 115.Умисне вбивство
2;116;Стаття 116.Умисне вбивство, вчинене в стані сильного душевного хвилювання
2;117;Стаття 117.Умисне вбивство матір'ю своєї новонародженої дитини
2;118;"Стаття 118.Умисне вбивство при перевищенні меж необхідної оборони або у разі
 перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне
правопорушення"
2;119;Стаття 119.Вбивство через необережність
2;120;Стаття 120.Доведення до самогубства
2;121;Стаття 121.Умисне тяжке тілесне ушкодження
2;122;Стаття 122.Умисне середньої тяжкості тілесне ушкодження
2;123;"Стаття 123.Умисне тяжке тілесне ушкодження, заподіяне у стані сильного
душевного хвилювання"
2;124;"Стаття 124.Умисне заподіяння тяжких тілесних ушкоджень у разі перевищення меж
 необхідної оборони або у разі перевищення заходів, необхідних для затримання
особи, яка вчинила кримінальне правопорушення"
2;125;Стаття 125.Умисне легке тілесне ушкодження
2;126;Стаття 126.Побої і мордування
2;126-1;Стаття 126-1. Домашнє насильство
2;127;Стаття 127.Катування
2;128;Стаття 128.Необережне тяжке або середньої тяжкості тілесне ушкодження
2;129;Стаття 129.Погроза вбивством
2;130;"Стаття 130.Зараження вірусом імунодефіциту людини чи іншої невиліковної
інфекційної хвороби"
2;131;"Стаття 131.Неналежне виконання професійних обов'язків, що спричинило зараження
особи вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби"
2;132;"Стаття 132.Розголошення відомостей про проведення медичного огляду на виявлення
зараження вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби"
2;133;Стаття 133.Зараження венеричною хворобою
2;134;Стаття 134.Незаконне проведення аборту або стерилізації
2;135;Стаття 135.Залишення в небезпеці
2;136;Стаття 136.Ненадання допомоги особі, яка перебуває в небезпечному для життя стані
2;137;Стаття 137.Неналежне виконання обов'язків щодо охорони життя та здоров'я дітей
2;138;Стаття 138.Незаконна лікувальна діяльність
2;139;Стаття 139.Ненадання допомоги хворому медичним працівником
2;140;"Стаття 140.Неналежне виконання професійних обов'язків медичним або
фармацевтичним працівником"
2;141;Стаття 141.Порушення прав пацієнта
2;142;Стаття 142.Незаконне проведення дослідів над людиною
2;143;"Стаття 143.Порушення встановленого законом порядку трансплантації анатомічних
матеріалів людини"
2;144;Стаття 144.Насильницьке донорство
2;145;Стаття 145.Незаконне розголошення лікарської таємниці
3;146;Стаття 146.Незаконне позбавлення волі або викрадення людини
3;146-1;Стаття 146-1.Насильницьке зникнення
3;147;Стаття 147.Захоплення заручників
3;148;Стаття 148.Підміна дитини
3;149;Стаття 149.Торгівля людьми
3;150;Стаття 150.Експлуатація дітей
3;150-1;Стаття 150-1.Використання малолітньої дитини для заняття жебрацтвом
3;151;Стаття 151.Незаконне поміщення в заклад з надання психіатричної допомоги
3;151-1;Стаття 151-1.{Статтю 1511виключено на підставі Закону№ 767-VII від 23.02.2014}
3;151-2;Стаття 151-2. Примушування до шлюбу
4;152;Стаття 152.Зґвалтування
4;153;Стаття 153.Сексуальне насильство
4;154;Стаття 154.Примушування до вступу в статевий зв'язок
